Roll,Name,Effect
77,Bubbles,"A stream of soap bubbles shoots out of either the caster's ears, fingers or mouth."
78,Pebble In Shoe,"For 1D4+1 days, the target has the sensation of having a pebble in their shoe."
79,Spin,Target rotates 360 degrees in place once before stopping.
80,Handy Helpers,"Select a friendly humanoid target, both of their hands immediately fall off at the wrists. This does not harm the target at all, and a new pair of hands identical to the old ones grow almost immediately. Both of the disembodied hands become animated and sentient, statted as Crawling Claws but monstrosity-type instead of undead and without attacks. They also have 10 HP each, and 7 INT. The hands will obey their original owner, and can be issued commands telepathically if they are within 1 mile. If they are further away than a mile and have no orders, they will attempt to move towards the last place they saw their master. If they still cannot find them, they will attempt to find clues as to their whereabouts before seeking them out anew."
81,Replace Teeth,Target's teeth fall out and quickly grow back over the course of 10 seconds.
82,Botch,The next dice the caster rolls is rolled with disadvantage.
83,Daredevil,Caster becomes unable to back down from any presented challenge for 1D4 days.
84,Multilingual,Target instantly learns a single random language.
85,Foreign Language,Target can only speak in a random language for the next day.
86,Embarrassment,The target suddenly remembers the most embarrassing moment of their life.
87,Astral Frog,"From now on, the only dreams the target can have are those of a frog speaking in a deep voice trying to convince them to join it for a fine dinner among the stars. If the target agrees, they are teleported to the celestial plane where the frog treats them to roast pheasant, cranberry sauce, garlic bread and red wine. Once the meal is finished, the target will reappear in their bed bearing a small portrait of the frog signed ""Thinking of you"". After this, the dream will no longer occur."
88,Water In Nose,Caster's sinuses are flooded with water.
89,Braid,Target's hair begins to braid itself. It will repeat this if the braid is undone.
90,Pink,Target turns bright pink. This effect spreads to anyone the target kisses.
91,Shuffle Turns,Initiative is rerolled.
92,Frog Croak,"For the next 1D8 minutes, target can only speak by croaking like a frog."
93,Chicken Rage,Target gains an overwhelming hatred for chickens and poultry products.
94,Chameleon Tongue,The caster now changes color to match whatever they are eating. This effect can be removed with the spell Dispel Curse.
95,Fur,"The target grows short, coarse hair all over their body."
96,Minute Resistance,Caster gains 1 temporary hit point.
97,Strange Tattoo,Tattoos depicting a nude fat man beheading a dragon with a spoon appear all over the caster's torso.
98,Meal,A table with a high-quality meal prepared on it appears in front of the caster.
99,Heal Allies,All friendly targets within 80 ft regain 1D4+1 HP.
100,Advantage,Caster has advantage on all rolls for 1 minute.
